"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Jan 10 17:19:40 CST 2021","Sun Jan 10 17:19:40 CST 2021","76","testcases","test_login","TestLogin","","","test_login[getData3]",""
"passed","Sun Jan 10 17:19:40 CST 2021","Sun Jan 10 17:19:40 CST 2021","16","testcases","test_login","TestLogin","","","test_login[getData0]",""
"failed","Sun Jan 10 17:19:40 CST 2021","Sun Jan 10 17:19:40 CST 2021","14","testcases","test_erJi","TestErJi","","","test_erJi[getData4]",""
"failed","Sun Jan 10 17:19:39 CST 2021","Sun Jan 10 17:19:39 CST 2021","72","testcases","test_changjing","TestChangJing","","","test_changjing_02",""
"passed","Sun Jan 10 17:19:40 CST 2021","Sun Jan 10 17:19:40 CST 2021","39","testcases","test_login","TestLogin","","","test_login[getData1]",""
"passed","Sun Jan 10 17:19:39 CST 2021","Sun Jan 10 17:19:39 CST 2021","96","testcases","test_changjing","TestChangJing","","","test_changjing_01",""
"passed","Sun Jan 10 17:19:40 CST 2021","Sun Jan 10 17:19:40 CST 2021","26","testcases","test_login","TestLogin","","","test_login[getData2]",""
"passed","Sun Jan 10 17:19:39 CST 2021","Sun Jan 10 17:19:40 CST 2021","53","testcases","test_erJi","TestErJi","","","test_erJi[getData0]",""
"failed","Sun Jan 10 17:19:40 CST 2021","Sun Jan 10 17:19:40 CST 2021","13","testcases","test_erJi","TestErJi","","","test_erJi[getData3]",""
"failed","Sun Jan 10 17:19:40 CST 2021","Sun Jan 10 17:19:40 CST 2021","21","testcases","test_erJi","TestErJi","","","test_erJi[getData2]",""
"failed","Sun Jan 10 17:19:40 CST 2021","Sun Jan 10 17:19:40 CST 2021","19","testcases","test_erJi","TestErJi","","","test_erJi[getData1]",""
